metric,value,percentage
Raw Label 917562,17,0.00011276132520027903
Raw Label 7733276,188,0.0012470075963324976
Raw Label 5898268,1418,0.009405621125529158
Raw Label 4915214,240,0.001591924591062763
Raw Label 6029326,242,0.0016051906293216194
Raw Label 7012362,45,0.000298485860824268
Raw Label 2818054,168,0.001114347213743934
Raw Label 5832732,1148,0.007614705960583549
Raw Label 4980756,236,0.0015653925145450503
Raw Label 5963790,59,0.0003913481286362626
Raw Label 7864352,110,0.0007296321042370997
Raw Label 8650780,85,0.0005638066260013952
Raw Label 2752558,404,0.0026797397282889842
Raw Label 6881326,4,2.6532076517712715e-05
Raw Label 8323117,9,5.96971721648536e-05
Raw Label 6815790,9,5.96971721648536e-05
Raw Label 6684717,14,9.28622678119945e-05
Raw Label 8912906,5,3.3165095647140895e-05
Raw Label 1114146,91,0.0006036047407779643
Raw Label 1900550,12,7.959622955313815e-05
Raw Label 3276845,433,0.0028720972830424017
Raw Label 8454191,46,0.00030511887995369623
Raw Label 8585244,98,0.0006500358746839615
Raw Label 8716335,33,0.0002188896312711299
Raw Label 7471132,1133,0.007515210673642127
Raw Label 8519708,219,0.0014526311893447712
Raw Label 8192047,41,0.0002719537843065553
Raw Label 7077933,475,0.0031506840864783847
Raw Label 7405596,684,0.004536985084528874
Raw Label 8847405,3,1.9899057388284538e-05
Raw Label 8781871,116,0.0007694302190136688
Raw Label 786444,1744,0.011567985361722745
Raw Label 2883590,6,3.9798114776569075e-05
Raw Label 720908,837,0.005551837011331386
Raw Label 655372,3086,0.02046949703341536
Raw Label 7209007,68,0.00045104530080111613
Raw Label 5701677,114,0.0007561641807548124
Raw Label 4784175,723,0.004795672830576574
Raw Label 7143469,39,0.000258687746047699
Raw Label 3866671,24,0.0001591924591062763
Raw Label 5308463,7,4.643113390599725e-05
Raw Label 1769500,754,0.005001296423588847
Raw Label 5963821,2,1.3266038258856357e-05
Raw Label 5505056,4,2.6532076517712715e-05
Raw Label 5636143,18,0.0001193943443297072
Raw Label 5570573,1,6.633019129428179e-06
Raw Label 6684682,3,1.9899057388284538e-05
Raw Label 7667757,8,5.306415303542543e-05
Raw Label 6750255,4,2.6532076517712715e-05
Raw Label 6619150,10,6.633019129428179e-05
Raw Label 5898260,18,0.0001193943443297072
Raw Label 6553614,19,0.0001260273634591354
Raw Label 7602208,6,3.9798114776569075e-05
Raw Label 6488092,1195,0.007926457859666673
Raw Label 6160431,33,0.0002188896312711299
Raw Label 786452,2,1.3266038258856357e-05
Raw Label 6422556,356,0.0023613548100764317
Raw Label 6357020,610,0.004046141668951189
Raw Label 7864365,135,0.0008954575824728041
Raw Label 3604486,66,0.0004377792625422598
Raw Label 8126492,160,0.0010612830607085086
Raw Label 3735558,43,0.0002852198225654117
Raw Label 3538950,35,0.00023215566952998625
Raw Label 3473414,19,0.0001260273634591354
Raw Label 2752518,26,0.00017245849736513265
Raw Label 3801135,591,0.003920114305492053
Raw Label 3670044,1690,0.011209802328733622
Raw Label 2687022,1367,0.00906733714992832
Raw Label 3,9238,0.06127583071765751
Raw Label 8847370,76,0.0005041094538365416
Raw Label 4784156,322,0.0021358321596758735
Raw Label 4849692,656,0.004351260548904885
Raw Label 4915228,719,0.00476914075405886
Raw Label 5046300,414,0.0027460699195832657
Raw Label 5177372,642,0.004258398281092891
Raw Label 8716302,2,1.3266038258856357e-05
Raw Label 720930,112,0.000742898142495956
Raw Label 8388636,145,0.0009617877737670859
Raw Label 7929903,119,0.0007893292764019534
Raw Label 8323119,23,0.00015255943997684811
Raw Label 7274543,64,0.00042451322428340343
Raw Label 4128774,28,0.000185724535623989
Raw Label 3997741,31,0.00020562359301227356
Raw Label 7340060,2129,0.014121697726552593
Raw Label 8650799,146,0.0009684207928965141
Raw Label 7733295,103,0.0006832009703311024
Raw Label 4194349,41,0.0002719537843065553
Raw Label 4259887,100,0.0006633019129428178
Raw Label 1835014,480,0.003183849182125526
Raw Label 5767215,19,0.0001260273634591354
Raw Label 5701679,11,7.296321042370996e-05
Raw Label 3538990,56,0.000371449071247978
Raw Label 2097158,157,0.001041384003320224
Raw Label 7929901,4,2.6532076517712715e-05
Raw Label 7864330,11,7.296321042370996e-05
Raw Label 7798830,9,5.96971721648536e-05
Raw Label 6422575,14,9.28622678119945e-05
Raw Label 6488110,8,5.306415303542543e-05
Raw Label 6553632,12,7.959622955313815e-05
Raw Label 7471118,6,3.9798114776569075e-05
Raw Label 6881300,10,6.633019129428179e-05
Raw Label 6946863,2,1.3266038258856357e-05
Raw Label 6815758,4,2.6532076517712715e-05
Raw Label 7405582,8,5.306415303542543e-05
Raw Label 8585261,69,0.0004576783199305443
Raw Label 7536685,116,0.0007694302190136688
Raw Label 7274524,340,0.0022552265040055807
Raw Label 7012399,5,3.3165095647140895e-05
Raw Label 7208988,358,0.002374620848335288
Raw Label 8323100,136,0.0009020906016022323
Raw Label 7733294,86,0.0005704396451308234
Raw Label 7667758,102,0.0006765679512016742
Raw Label 8847388,82,0.0005439075686131106
Raw Label 2949166,171,0.0011342462711322185
Raw Label 4784173,26,0.00017245849736513265
Raw Label 3932166,8,5.306415303542543e-05
Raw Label 5177356,5,3.3165095647140895e-05
Raw Label 9699338,41,0.0002719537843065553
Raw Label 5242886,2,1.3266038258856357e-05
Raw Label 3014662,3,1.9899057388284538e-05
Raw Label 3801094,36,0.0002387886886594144
Raw Label 5373997,17,0.00011276132520027903
Raw Label 3866630,227,0.0015056953423801965
Raw Label 4063238,17,0.00011276132520027903
Raw Label 3670061,311,0.0020628689492521637
Raw Label 720933,153,0.0010148519268025115
Raw Label 1966090,41,0.0002719537843065553
Raw Label 983086,472,0.0031307850290901006
Raw Label 5963804,810,0.005372745494836824
Raw Label 6160412,383,0.0025404463265709925
Raw Label 6029340,830,0.005505405877425388
Raw Label 6094876,345,0.0022883915996527214
Raw Label 6291484,369,0.002447584058758998
Raw Label 6225948,376,0.002494015192664995
Raw Label 9306126,11,7.296321042370996e-05
Raw Label 852002,73,0.00048421039644825704
Raw Label 5570605,1,6.633019129428179e-06
Raw Label 8781852,114,0.0007561641807548124
Raw Label 9043996,175,0.0011607783476499313
Raw Label 8257564,135,0.0008954575824728041
Raw Label 8192028,117,0.0007760632381430969
Raw Label 8716316,77,0.0005107424729659698
Raw Label 4259885,5,3.3165095647140895e-05
Raw Label 4456454,196,0.001300071749367923
Raw Label 9502765,11,7.296321042370996e-05
Raw Label 9109549,82,0.0005439075686131106
Raw Label 9568301,2,1.3266038258856357e-05
Raw Label 9175087,45,0.000298485860824268
Raw Label 3080198,26,0.00017245849736513265
Raw Label 9633837,3,1.9899057388284538e-05
Raw Label 9371695,9,5.96971721648536e-05
Raw Label 8912941,30,0.00019899057388284537
Raw Label 7995439,17,0.00011276132520027903
Raw Label 8978479,160,0.0010612830607085086
Raw Label 9437231,26,0.00017245849736513265
Raw Label 9240623,66,0.0004377792625422598
Raw Label 4522029,8,5.306415303542543e-05
Raw Label 2818095,319,0.002115933102287589
Raw Label 5242927,23,0.00015255943997684811
Raw Label 6946861,2,1.3266038258856357e-05
Raw Label 7602186,11,7.296321042370996e-05
Raw Label 7536686,8,5.306415303542543e-05
Raw Label 8192045,50,0.0003316509564714089
Raw Label 6750228,10,6.633019129428179e-05
Raw Label 7208974,3,1.9899057388284538e-05
Raw Label 6815791,2,1.3266038258856357e-05
Raw Label 7143452,1005,0.00666618422507532
